Trajectories,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,tt Beau Bras:bras1,,,tt Beau Bras:bras2,,,tt Beau Bras:bras3,,,tt Beau Bras:avantbras2,,,tt Beau Bras:avantbras3,,,tt Beau Bras:main2,,,tt Beau Bras:main3,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-945.89,673.023,1459.61,-1061.17,683.081,1210.46,-967.706,724.5,1295.97,-1155.67,517.875,1017.05,-1123.06,610.291,1093.48,-1195.25,505.083,972.888,-1150.18,464.487,1005.42
2,0,-946.029,665.08,1458.24,-1060.02,676.441,1208.72,-966.274,716.651,1294.22,-1154.22,513.18,1012.96,-1122.44,606.415,1090.86,-1193.72,500.327,968.56,-1148.82,459.548,1000.53
3,0,-946.125,656.739,1456.71,-1058.91,669.507,1206.32,-964.886,708.825,1292.62,-1152.96,508.741,1008.49,-1120.78,601.052,1087.49,-1192.08,495.618,963.143,-1147.62,455.474,995.504
4,0,-946.437,648.23,1455.07,-1057.66,662.983,1204.13,-963.66,701.003,1290.95,-1151.65,504.781,1003.79,-1119.33,595.874,1083.99,-1190.21,492.339,958.442,-1146.37,452.063,990.293
5,0,-946.741,639.499,1453.35,-1056.45,656.168,1201.71,-962.624,693.149,1289.2,-1150.15,501.483,998.877,-1117.66,590.897,1080.31,-1188.6,489.047,952.559,-1145.31,448.494,984.914
6,0,-947.2,630.611,1451.58,-1055.05,649.649,1199.27,-961.842,685.362,1287.61,-1148.57,498.323,993.913,-1115.9,586.186,1076.53,-1186.55,487.342,947.555,-1144.39,445.297,979.501
7,0,-947.764,621.316,1449.63,-1053.75,643.103,1196.64,-961.217,677.44,1285.93,-1146.98,495.22,988.725,-1114.17,581.539,1072.82,-1184.54,485.388,941.891,-1143.52,442.399,973.77
8,0,-948.207,612.469,1447.99,-1052.37,636.501,1194.28,-960.565,669.826,1284.46,-1145.18,492.345,983.531,-1112.44,576.755,1069.01,-1182.35,483.684,936.164,-1142.38,439.89,967.994
9,0,-948.808,603.155,1446.16,-1051.05,629.772,1191.87,-959.925,662.047,1282.91,-1143.26,489.834,978.37,-1110.36,572.344,1065.31,-1180.15,481.56,929.806,-1141.07,437.488,961.964
10,0,-949.354,593.962,1444.36,-1049.54,623.196,1189.42,-959.398,654.293,1281.42,-1141.23,487.349,973.091,-1108.11,568.193,1061.7,-1177.57,480.865,924.653,-1139.53,435.265,956.1
11,0,-950.025,584.65,1442.53,-1047.98,616.548,1186.97,-958.807,646.488,1280.01,-1138.86,484.711,967.881,-1106.18,563.701,1058.02,-1175.11,479.166,918.603,-1137.69,433.049,950.165
12,0,-950.803,575.084,1440.57,-1046.6,609.817,1184.53,-958.177,638.892,1278.71,-1136.8,482.736,962.684,-1104.12,559.455,1054.46,-1172.48,478.399,913.659,-1135.59,430.747,944.429
13,0,-951.465,565.791,1438.91,-1044.78,603.093,1182.14,-957.646,630.71,1277.16,-1134.46,480.39,957.721,-1101.45,555.683,1050.82,-1169.92,477.851,908.751,-1133.33,428.94,938.712
14,0,-952.281,556.137,1437.1,-1043.07,596.583,1179.85,-957.004,622.554,1275.75,-1132.02,477.986,952.903,-1099.41,551.519,1047.34,-1167.27,476.426,903.549,-1131.02,427.15,932.931
15,0,-953.079,546.186,1435.25,-1041.27,589.791,1177.44,-956.164,614.615,1274.49,-1129.83,476.462,947.82,-1097.08,547.649,1044.12,-1164.72,475.046,898.464,-1128.65,425.863,927.199
16,0,-953.946,536.248,1433.5,-1039.39,583.173,1175.17,-955.329,606.173,1273.14,-1125.4,472.36,944.078,-1094.54,543.62,1040.52,-1162.1,473.897,893.652,-1124.54,422.127,922.644
17,0,-954.984,525.833,1431.51,-1038.1,575.541,1172.46,-954.485,597.514,1271.72,-1123.16,470.061,939.462,-1092.3,539.879,1037.36,-1159.84,472.055,888.53,-1122.12,419.52,917.534
18,0,-955.969,515.616,1429.7,-1036.25,568.3,1170.33,-953.665,588.827,1270.32,-1120.89,468.043,934.679,-1090.08,535.724,1034.34,-1157.3,471.019,883.948,-1119.73,417.419,911.875
19,0,-957.13,505.143,1427.81,-1035.07,560.375,1167.86,-952.819,579.734,1268.8,-1118.87,465.47,930.126,-1088.21,530.963,1031.27,-1155.17,469.289,878.687,-1117.33,415.866,905.75
20,0,-958.331,494.634,1425.88,-1033.47,552.39,1165.79,-952.24,570.176,1267.24,-1116.97,463.117,925.301,-1086.31,526.069,1028.25,-1152.82,467.68,873.93,-1115.17,414.003,900.277
21,0,-959.583,484.113,1423.85,-1032.34,543.583,1163.35,-951.912,560.477,1265.59,-1115.57,458.755,921.432,-1084.65,520.199,1025.11,-1150.81,466.531,869.239,-1112,412,894
22,0,-960.992,473.361,1421.67,-1031.74,533.876,1160.47,-951.967,550.492,1263.77,-1114.48,455.555,916.869,-1083.28,514.894,1022.22,-1149.1,464.783,864.423,-1111.53,409.38,888.432
23,0,-962.373,462.833,1419.51,-1030.53,525.201,1158.63,-952.232,540.401,1261.88,-1113.27,453.151,912.066,-1082.11,508.857,1019.42,-1147.36,462.605,859.784,-1109.85,405.546,883.518
24,0,-963.836,452.47,1417.64,-1029.82,515.14,1156.11,-952.726,529.73,1259.81,-1112.44,450.195,907.552,-1081.05,502.075,1016.74,-1146.19,460.475,855.449,-1109.36,403.829,877.735
25,0,-965.399,441.85,1415.67,-1029.16,505.01,1153.77,-953.396,518.896,1257.68,-1111.98,447.058,903.296,-1080.2,495.269,1014.3,-1145.08,457.784,851.502,-1108.21,400.458,872.57
26,0,-967.029,430.816,1413.46,-1028.76,494.435,1151.39,-954.022,507.734,1255.53,-1111.65,443.098,899.345,-1079.4,488.132,1012.19,-1144.24,455.029,848.001,-1107.69,397.567,867.163
27,0,-968.815,420.405,1411.84,-1028.4,483.643,1149.07,-954.473,496.668,1253.51,-1111.39,438.77,895.999,-1078.63,480.644,1010.31,-1143.55,451.649,844.682,-1107.5,392,863
28,0,-970.66,409.924,1410.23,-1028.42,472.147,1146.25,-954.846,485.368,1251.62,-1111.33,433.539,893.115,-1078.19,472.769,1008.47,-1142.91,447.969,841.865,-1107.37,388.316,858.894
29,0,-972.477,399.255,1408.52,-1028.33,461.102,1144.18,-955.231,474.098,1249.79,-1111.69,428.618,890.723,-1077.65,464.582,1006.9,-1142.47,443.9,839.567,-1107.86,383.176,855.539
30,0,-974.553,388.734,1407.39,-1027.79,451.171,1143.15,-955.658,462.714,1248.12,-1111.85,422.722,888.624,-1077.26,455.983,1005.58,-1141.65,439.77,837.983,-1108.73,379.436,851.854
31,0,-976.459,378.215,1406.59,-1027.64,440.368,1141.83,-956.09,451.24,1246.77,-1111.7,416.412,887.229,-1076.74,447.213,1004.7,-1140.99,434.685,836.729,-1110.65,371.676,850.807
32,0,-978.349,368.445,1406.48,-1027.42,429.8,1141.09,-956.41,439.885,1245.99,-1109.84,406.096,887.737,-1076.09,438.084,1004.35,-1140.45,429.097,836.288,-1112.33,364.547,849.768
33,0,-979.989,357.9,1406.45,-1027.32,418.924,1140.52,-956.644,428.526,1245.69,-1110.71,401.024,886.563,-1075.5,428.631,1004.39,-1139.52,422.767,836.417,-1113.57,356.869,849.396
34,0,-981.48,347.857,1406.91,-1027.29,407.946,1140.15,-956.729,417.418,1246.08,-1110.99,392.128,887.239,-1074.91,418.907,1004.63,-1138.67,415.671,836.885,-1115.1,348.532,849.933
35,0,-982.977,337.757,1407.8,-1026.94,398.192,1141.02,-956.589,406.551,1246.82,-1110.89,382.994,888.202,-1074.32,409.208,1005.33,-1138.01,407.379,837.488,-1116.72,339.631,850.865
36,0,-984.236,327.848,1408.77,-1026.75,388.299,1141.81,-956.364,396.07,1248.28,-1111.31,372.983,889.41,-1074.4,398.59,1005.52,-1136.95,398.997,838.973,-1119.55,331.26,851.729
37,0,-985.414,318.745,1410.33,-1026.53,378.688,1142.77,-956.285,385.472,1249.57,-1111.91,362.086,890.621,-1073.55,389.286,1006.82,-1136.45,389.149,840.111,-1121.93,321.238,853.884
38,0,-986.503,309.182,1411.6,-1026.35,369.32,1143.95,-956.123,375.418,1250.94,-1112.22,352.379,891.994,-1073.29,379.054,1007.56,-1135.94,378.358,841.05,-1125.53,312.616,855.036
39,0,-987.425,299.181,1412.69,-1026.31,359.855,1144.86,-956.086,365.237,1252.25,-1113.11,341.31,893.484,-1073.31,368.671,1008.31,-1136,366.793,842.048,-1127.86,300.946,857.682
40,0,-988.436,290.526,1414.25,-1026.4,350.525,1145.8,-956.245,355.172,1253.39,-1114.23,329.782,894.957,-1073.75,357.706,1008.92,-1136.62,354.54,842.825,-1130.34,288.943,860.091
41,0,-989.374,280.549,1415.07,-1026.9,341.049,1146.58,-956.505,345.362,1254.4,-1115.82,317.538,896.188,-1074.46,346.529,1009.58,-1137.54,341.398,843.613,-1132.93,276.15,862.495
42,0,-990.311,271.512,1416.05,-1027.64,331.017,1147.19,-956.976,335.551,1255.1,-1117.78,304.058,897.584,-1075.64,334.908,1010.15,-1139,327.711,844.391,-1135.61,263.053,864.941
43,0,-991.304,262.491,1417.16,-1028.75,321.157,1148.09,-957.684,325.732,1255.73,-1119.75,290.607,898.823,-1077.22,323.005,1010.91,-1141.25,313.037,845.263,-1137.94,248.844,867.159
44,0,-992.188,253.389,1418.37,-1030.29,310.802,1148.94,-958.652,316.015,1256.49,-1121.91,276.549,900.453,-1079.07,310.75,1011.82,-1143.71,297.811,846.417,-1139.72,233.49,869.748
45,0,-993.119,245.195,1420,-1032.21,300.209,1149.86,-959.851,306.119,1257.07,-1124.39,261.781,902.115,-1081.3,298.176,1012.72,-1147.34,281.296,847.282,-1143.2,219.557,872.641
46,0,-993.942,236.224,1421.42,-1034.27,289.644,1151.03,-961.313,296.467,1257.91,-1126.88,246.884,904.155,-1083.99,284.568,1013.44,-1149.98,265.83,849.873,-1144.82,202.722,875.018
47,0,-994.775,227.595,1423.04,-1036.61,278.925,1152.43,-962.978,287.01,1258.97,-1129.86,231.238,906.52,-1086.51,272.08,1015.4,-1153.74,249.013,852.064,-1146.65,186.668,878.386
