Trajectories
100
,,Danseur:mainD11,,,Danseur:mainD12,,,Danseur:mainD13,,,Danseur:tete1,,,Danseur:tete2,,,Danseur:tete3,,,Danseur:tete4,,,Danseur:epaules1,,,Danseur:epaules2,,,Danseur:epaules3,,,Danseur:epaules4,,,Danseur:brasD2,,,Danseur:brasD3,,,Danseur:colonne2,,,Danseur:colonne3,,,Danseur:colonne4,,,Danseur:homoplateD1,,,Danseur:piedD1,,,Danseur:piedD2,,,Danseur:piedD3,,,Danseur:piedG1,,,Danseur:piedG2,,,Danseur:piedG3,,,Danseur:mainG1,,,Danseur:mainG2,,,Danseur:mainG3,,,Danseur:avantbrasG1,,,Danseur:brasG2,,,Danseur:bassin1,,,Danseur:bassin4,,,Danseur:sternum1,,,Danseur:molletD1,,,Danseur:molletG1,,,Danseur:cuisseG1,,,Danseur:cuisseG2,,,Danseur:cuisseD1,,,Danseur:cuisseD21,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,363.002,-21.2467,823.829,396.334,-6.16359,744.567,389.123,-84.2753,803.529,218.052,-185.283,1562.07,71.7035,-188.353,1570.18,105.85,12.8961,1614.13,198.263,-3.14978,1594.26,296.735,-130.014,1371.8,142.182,-48.0064,1326.9,-15.6795,-127.986,1382.94,146.811,-166.241,1397.06,378.416,-151.926,1130.8,389.991,-122.529,1041.52,141.217,-203.964,1135.29,107.44,-182.488,1008.29,189.925,-185.112,1004.17,240.275,-223.803,1285.84,252.405,-1.335,65.967,283.283,-134.778,114.222,240.987,-187.576,96.403,-7.52397,-136.438,109.413,40.6812,-176.922,84.4335,42.9759,6.96056,70.1823,-24.5733,16.6858,840.382,-74.8083,-32.7753,820.725,-52.2177,38.0042,779.394,-92.0624,-74.8825,1054.62,-79.3139,-111.222,1276.75,41.8992,-3.9363,961.078,251.042,-18.5231,974.687,154.284,18.9885,1194.57,292.048,-123.27,464.678,-19.8124,-128.551,475.197,,,,-24.4395,-80.2774,616.435,321.439,-104.091,840.348,313.519,-60.5484,716.985
2,0,364.084,-21.8737,823.416,397.308,-6.60749,744.275,390.455,-84.2805,803.779,218.258,-185.134,1562.07,71.953,-188.51,1570.12,105.618,12.8146,1614.14,198.039,-2.96548,1594.25,296.685,-129.911,1371.69,142.146,-48.017,1326.9,-15.7035,-128.022,1382.99,146.853,-166.259,1397.04,379.017,-151.477,1130.95,390.328,-121.466,1041.78,141.185,-203.994,1135.31,107.444,-182.456,1008.28,189.892,-185.086,1004.17,240.281,-223.808,1285.86,252.414,-1.32216,65.9604,283.294,-134.767,114.216,240.981,-187.541,96.3795,-7.5464,-136.467,109.414,40.6692,-176.898,84.3976,42.9677,6.9453,70.2041,-24.3395,16.5946,840.35,-74.7257,-32.8582,820.697,-51.9537,37.9641,779.36,-92.0219,-74.7974,1054.62,-79.6586,-110.289,1276.47,41.8771,-3.97579,961.068,251.007,-18.533,974.69,154.19,18.9331,1194.49,292.032,-123.343,464.618,-19.8712,-128.58,475.215,,,,-24.4642,-80.356,616.416,321.579,-104.291,840.372,313.681,-60.6988,716.872
3,0,365.375,-22.1168,823.268,398.612,-7.18792,743.963,391.748,-84.4417,803.742,218.48,-184.572,1561.97,72.3504,-188.39,1569.98,105.371,12.6599,1614.16,197.826,-2.86347,1594.21,296.662,-129.813,1371.57,142.104,-48.0829,1326.86,-15.6895,-128.072,1383.03,146.861,-166.242,1397.05,379.622,-151.049,1131.1,391.056,-121.047,1041.98,141.139,-203.956,1135.28,107.417,-182.485,1008.28,189.893,-185.077,1004.17,240.279,-223.761,1285.88,252.41,-1.32422,65.9551,283.283,-134.779,114.227,240.992,-187.623,96.4278,-7.53908,-136.466,109.415,40.6234,-176.92,84.3927,42.96,6.96091,70.2137,-24.1386,16.4233,840.296,-74.6297,-32.9585,820.693,-51.6866,37.8279,779.286,-92.0002,-74.6756,1054.63,-79.6963,-110.288,1276.5,41.8307,-4.02928,961.043,251.013,-18.5445,974.693,154.086,18.8727,1194.43,292.038,-123.403,464.624,-19.9108,-128.613,475.181,,,,-24.5137,-80.4026,616.431,321.638,-104.418,840.396,313.824,-60.8243,716.744
4,0,366.605,-22.18,823.245,399.91,-7.56497,743.791,393.263,-85.0547,803.642,218.711,-184.279,1561.92,73.1642,-187.394,1569.62,105.085,12.532,1614.2,197.607,-2.62035,1594.27,296.616,-129.698,1371.45,142.058,-48.0398,1326.88,-15.7001,-128.125,1383.08,146.924,-166.24,1397.06,380.294,-150.702,1131.22,391.85,-120.617,1042.15,141.123,-203.885,1135.27,107.419,-182.557,1008.37,189.867,-185.132,1004.23,240.311,-223.693,1285.88,252.409,-1.32488,65.9673,283.312,-134.779,114.225,241.003,-187.584,96.4001,-7.55528,-136.453,109.4,40.6254,-176.928,84.3967,42.9625,6.93016,70.2193,-23.9773,16.2638,840.247,-74.6007,-33.0088,820.664,-51.44,37.6364,779.182,-91.9593,-74.5531,1054.65,-79.733,-110.321,1276.53,41.791,-4.04651,961.02,250.995,-18.5263,974.683,153.98,18.8568,1194.37,292.017,-123.429,464.604,-19.9223,-128.669,475.179,,,,-24.529,-80.4888,616.412,321.613,-104.44,840.397,314.032,-61.101,716.673
5,0,368.094,-22.4649,823.112,401.327,-7.86174,743.668,395.149,-84.9156,803.966,219.006,-183.913,1561.78,75.1282,-184.158,1568.96,104.857,12.3734,1614.21,197.39,-2.456,1594.29,296.601,-129.591,1371.33,142.027,-48.0198,1326.89,-15.6835,-128.177,1383.14,146.995,-166.225,1397.07,380.925,-150.414,1131.38,392.684,-120.172,1042.35,141.117,-203.921,1135.3,107.383,-182.484,1008.32,189.857,-185.087,1004.23,240.332,-223.622,1285.87,252.421,-1.33696,65.9634,283.315,-134.776,114.198,241.018,-187.623,96.4456,-7.57225,-136.487,109.395,40.6389,-176.97,84.433,42.9561,6.96065,70.1954,-23.8275,16.0338,840.146,-74.5623,-33.1345,820.668,-51.2513,37.393,779.056,-91.9212,-74.4463,1054.68,-79.7569,-110.398,1276.61,41.7581,-4.06552,961.024,250.988,-18.5187,974.672,153.874,18.8112,1194.3,291.995,-123.524,464.542,-19.9497,-128.734,475.182,,,,-24.566,-80.5392,616.389,321.579,-104.478,840.395,314.241,-61.3847,716.527
6,0,369.597,-22.8657,822.859,403.076,-8.36931,743.481,396.831,-85.43,803.91,219.305,-183.712,1561.74,75.4923,-184.337,1568.96,104.586,12.2479,1614.23,197.144,-2.23778,1594.34,296.581,-129.454,1371.2,141.994,-48.011,1326.91,-15.6801,-128.234,1383.21,147.053,-166.156,1397.04,381.687,-149.948,1131.6,393.526,-119.783,1042.55,141.11,-203.941,1135.32,107.397,-182.544,1008.38,189.84,-185.114,1004.25,240.373,-223.553,1285.86,252.418,-1.34421,65.9658,283.306,-134.786,114.242,241.015,-187.616,96.415,-7.56382,-136.509,109.397,40.6431,-176.943,84.3733,42.9707,6.9273,70.2016,-23.5526,14.8584,839.345,-74.5156,-33.2496,820.684,-51.1116,37.123,778.909,-91.8867,-74.3108,1054.71,-79.8017,-110.392,1276.65,41.7113,-4.09592,961.008,250.963,-18.5084,974.662,153.772,18.8305,1194.24,291.951,-123.463,464.583,-19.9894,-128.773,475.171,,,,-24.2254,-79.3522,615.342,321.566,-104.483,840.414,314.286,-61.4358,716.488
7,0,371.079,-23.0954,822.795,404.656,-8.77857,743.247,399.137,-85.325,804.338,219.46,-183.654,1561.99,75.8021,-184.566,1568.96,104.323,12.083,1614.26,196.917,-2.13501,1594.4,296.565,-129.311,1371.08,141.949,-48.0068,1326.93,-15.6576,-128.311,1383.28,147.137,-166.089,1397.03,382.404,-149.502,1131.86,394.44,-119.37,1042.81,141.098,-203.852,1135.31,107.396,-182.52,1008.4,189.86,-185.075,1004.29,240.394,-223.492,1285.88,252.425,-1.31077,65.9708,283.316,-134.795,114.228,241,-187.656,96.4525,-7.55667,-136.527,109.395,40.6211,-176.909,84.3664,42.9463,6.92095,70.2038,-23.608,15.5675,839.963,-74.5428,-33.3312,820.709,-50.9823,36.8874,778.786,-91.8574,-74.1845,1054.75,-79.8348,-110.442,1276.73,41.6628,-4.15378,960.975,250.96,-18.5203,974.607,153.652,18.8571,1194.22,291.98,-123.613,464.545,-20.0167,-128.821,475.163,,,,-24.3083,-79.5763,615.455,321.522,-104.523,840.391,314.254,-61.4523,716.489
8,0,373.331,-23.517,822.669,406.737,-9.22315,743.154,401.119,-85.7063,804.382,219.797,-183.343,1561.99,76.1114,-184.698,1569.05,104.047,11.9804,1614.32,196.726,-2.02687,1594.4,296.537,-129.17,1370.98,141.899,-47.9997,1326.91,-15.6319,-128.379,1383.36,147.226,-166.105,1397.04,383.069,-149.076,1132.07,395.39,-118.895,1043.03,141.107,-203.808,1135.3,107.405,-182.535,1008.45,189.846,-185.071,1004.33,240.437,-223.411,1285.88,252.406,-1.34137,65.9963,283.315,-134.813,114.208,241.02,-187.614,96.427,-7.56371,-136.546,109.389,40.6217,-176.963,84.4234,42.9457,6.91982,70.2006,-23.5416,15.3286,839.871,-74.5565,-33.4645,820.707,-50.9081,36.6226,778.68,-91.8202,-74.0843,1054.79,-79.8654,-110.484,1276.8,41.6183,-4.19534,960.962,250.936,-18.494,974.597,153.519,18.8852,1194.16,291.993,-123.717,464.512,-20.0478,-128.882,475.161,,,,-24.3591,-79.7503,615.491,321.492,-104.542,840.388,314.234,-61.4935,716.453
9,0,375.189,-24.2709,822.248,408.718,-9.48058,743.077,403.611,-85.7535,804.766,220.098,-183.115,1561.99,75.2745,-187.979,1569.94,103.799,11.9058,1614.38,196.486,-1.91586,1594.44,296.517,-129.033,1370.88,141.853,-48.0023,1326.96,-15.5983,-128.488,1383.45,147.264,-166.132,1397.11,383.816,-148.703,1132.31,396.394,-118.396,1043.32,141.13,-203.801,1135.31,107.413,-182.544,1008.48,189.858,-185.021,1004.34,240.482,-223.367,1285.9,252.411,-1.32116,65.9881,283.313,-134.796,114.215,241.022,-187.658,96.457,-7.56379,-136.53,109.404,40.6149,-176.945,84.3847,42.9513,6.90817,70.2238,-23.4867,15.0763,839.735,-74.1417,-34.2298,821.06,-50.8516,36.418,778.607,-91.79,-73.9562,1054.85,-79.6568,-111.328,1277.14,41.5616,-4.26664,960.938,251.361,-17.9794,974.671,153.411,18.9026,1194.16,291.957,-123.727,464.519,-20.0721,-128.958,475.153,,,,-24.4357,-79.9393,615.553,321.452,-104.579,840.391,314.204,-61.5517,716.43
