Trajectories
100
,,Patient 2:bras051,,,Patient 2:bras052,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,122.935,177.833,913.889,183,193.009,1105.97
2,0,122.862,177.663,913.848,182.988,193.014,1105.89
3,0,122.774,177.507,913.818,182.989,193.037,1105.83
4,0,122.691,177.305,913.784,182.967,193.089,1105.75
5,0,122.599,177.113,913.754,182.98,193.155,1105.69
6,0,122.508,176.887,913.723,182.976,193.261,1105.6
7,0,122.413,176.646,913.724,182.989,193.298,1105.52
8,0,122.297,176.43,913.741,182.969,193.434,1105.44
9,0,122.197,176.123,913.756,183.014,193.591,1105.36
10,0,122.108,175.843,913.737,183.015,193.765,1105.26
11,0,122.044,175.563,913.746,183.064,193.947,1105.18
12,0,121.983,175.268,913.694,183.093,194.156,1105.11
13,0,121.932,174.935,913.715,183.159,194.428,1105.06
14,0,121.854,174.559,913.683,183.215,194.637,1104.95
15,0,121.774,174.259,913.681,183.275,194.813,1104.86
16,0,121.742,173.858,913.603,183.346,194.977,1104.77
17,0,121.704,173.541,913.581,183.418,195.095,1104.69
18,0,121.667,173.213,913.528,183.514,195.217,1104.61
19,0,121.653,172.932,913.497,183.593,195.223,1104.51
20,0,121.661,172.611,913.444,183.68,195.306,1104.43
21,0,121.669,172.312,913.417,183.769,195.388,1104.34
22,0,121.67,172.043,913.368,183.848,195.486,1104.25
23,0,121.669,171.758,913.348,183.932,195.6,1104.13
24,0,121.688,171.528,913.305,184.035,195.713,1104.05
25,0,121.729,171.316,913.281,184.133,195.745,1103.96
26,0,121.786,171.101,913.243,184.195,195.801,1103.83
27,0,121.872,170.906,913.138,184.276,195.825,1103.74
28,0,121.953,170.72,913.084,184.377,195.896,1103.63
29,0,122.04,170.595,912.985,184.511,195.984,1103.56
30,0,122.155,170.465,912.913,184.626,196.035,1103.46
31,0,122.313,170.353,912.821,184.806,196.169,1103.4
32,0,122.453,170.351,912.8,184.941,196.243,1103.33
33,0,122.672,170.307,912.729,185.126,196.295,1103.27
34,0,122.897,170.303,912.656,185.32,196.394,1103.21
35,0,123.17,170.373,912.559,185.457,196.484,1103.13
36,0,123.496,170.482,912.418,185.632,196.57,1103.05
37,0,123.864,170.575,912.258,185.86,196.75,1103.02
38,0,124.483,170.323,911.748,186.093,196.933,1103
39,0,124.723,170.922,911.969,186.374,197.209,1102.97
40,0,125.204,171.239,911.797,186.658,197.505,1102.93
41,0,125.643,171.604,911.676,186.976,197.836,1102.87
42,0,126.141,172.126,911.539,187.28,198.119,1102.82
43,0,126.734,172.7,911.406,187.657,198.444,1102.73
44,0,127.388,173.393,911.343,188.078,198.865,1102.66
45,0,128.029,174.02,911.164,188.501,199.206,1102.54
46,0,128.662,174.764,910.988,188.943,199.814,1102.53
47,0,129.389,175.66,910.919,189.444,200.374,1102.48
48,0,130.163,176.724,910.806,189.969,200.903,1102.48
49,0,131.089,177.761,910.676,190.602,201.467,1102.47
50,0,131.994,178.848,910.52,191.295,202.015,1102.45
51,0,132.974,179.971,910.342,191.973,202.787,1102.52
52,0,133.917,181.336,910.234,192.672,203.549,1102.53
53,0,135.089,182.727,910.064,193.481,204.229,1102.48
54,0,136.279,184.169,909.946,194.386,204.967,1102.52
55,0,137.609,185.769,909.809,195.241,205.93,1102.57
56,0,138.807,187.408,909.707,196.199,206.734,1102.55
57,0,140.235,189.237,909.657,197.211,207.704,1102.7
58,0,141.894,190.504,909.006,198.206,208.542,1102.77
59,0,143.228,192.801,909.183,199.242,209.531,1102.83
60,0,144.711,194.816,909.029,200.334,210.719,1102.91
61,0,146.297,197.027,908.926,201.374,211.766,1102.92
62,0,147.808,199.155,908.727,202.461,212.85,1102.93
63,0,149.391,201.465,908.448,203.575,214.156,1103
64,0,150.988,203.74,908.38,204.656,215.196,1103.05
65,0,152.528,206.424,908.388,205.874,216.655,1103.2
66,0,154.059,208.985,908.329,206.946,218.029,1103.22
67,0,155.605,211.628,908.301,208.188,219.613,1103.44
68,0,157.02,214.881,908.587,209.328,221.116,1103.74
69,0,158.929,217.718,908.446,210.474,223.044,1104.09
70,0,160.037,221.529,909.032,211.632,224.917,1104.52
71,0,161.699,225.127,909.209,212.724,227.078,1105.1
72,0,162.84,229.421,909.967,213.862,229.211,1105.73
73,0,164.232,233.678,910.526,214.84,231.465,1106.46
74,0,165.603,238.175,911.385,215.862,233.82,1107.22
75,0,166.719,243.042,912.222,216.801,236.3,1108.09
76,0,167.906,247.888,913.154,217.632,239.052,1109.12
77,0,169.073,253.261,914.368,218.409,241.795,1110.25
78,0,169.86,258.905,915.787,219.19,244.569,1111.56
79,0,170.402,264.682,917.451,219.79,247.449,1112.92
80,0,171.165,270.584,919.094,220.226,250.459,1114.34
81,0,171.544,276.784,921.12,220.601,253.642,1115.98
82,0,171.748,283.221,923.249,220.878,256.632,1117.66
83,0,172.066,289.446,925.41,220.917,259.907,1119.52
84,0,171.825,296.085,928.071,220.896,262.967,1121.47
85,0,171.007,302.935,931.1,220.665,266.379,1123.67
86,0,170.073,309.59,934.174,220.352,269.494,1125.86
87,0,169.179,316.077,937.31,219.74,273.031,1128.46
88,0,167.388,323.219,941.294,218.86,276.227,1130.99
89,0,165.734,329.917,945.091,217.764,279.377,1133.7
90,0,163.3,337.073,949.367,216.44,282.55,1136.64
91,0,160.85,343.991,953.875,214.818,285.74,1139.72
92,0,157.728,350.894,958.712,213.052,288.929,1142.87
93,0,154.407,357.639,963.76,211.018,291.878,1146.22
94,0,150.303,364.463,969.325,208.955,294.653,1149.55
95,0,146.014,371.216,975.043,206.653,297.443,1152.95
96,0,141.24,377.805,981.193,204.031,299.869,1156.59
97,0,136.155,384.101,987.536,201.167,302.363,1160.27
98,0,131.011,389.975,994.035,198.027,304.756,1164.2
99,0,124.895,396.395,1001.26,194.585,307.089,1168.26
100,0,118.62,401.68,1008.35,190.935,308.932,1172.4
101,0,111.765,406.766,1015.92,186.844,310.906,1176.8
102,0,104.273,411.633,1023.66,182.69,312.654,1181.18
103,0,96.4807,415.393,1031.38,178.388,314.403,1185.77
104,0,88.0055,418.727,1039.41,174.08,316.118,1190.41
105,0,79.2416,421.881,1047.7,169.638,317.818,1195.18
106,0,70.0469,424.629,1056.37,165.163,319.218,1199.98
107,0,60.6966,426.576,1064.82,160.486,320.591,1205
108,0,50.8437,428.122,1073.46,155.895,321.875,1209.86
109,0,40.8032,429.023,1082.53,151.138,322.887,1214.97
110,0,30.5153,429.023,1091.34,146.445,323.74,1219.88
111,0,19.8587,428.342,1100.51,141.866,324.493,1224.86
112,0,8.93044,426.85,1109.76,137.193,325.127,1229.68
113,0,-2.17462,424.686,1119.15,132.626,325.437,1234.44
114,0,-13.3208,421.943,1128.72,127.919,325.828,1239.25
115,0,-24.3793,418.367,1138.14,123.109,325.847,1244.1
116,0,-35.5846,414.206,1147.87,118.274,325.808,1248.82
117,0,-46.7137,409.307,1157.68,113.397,325.627,1253.6
118,0,-57.635,403.413,1167.41,108.411,325.019,1258.26
119,0,-68.1726,397.147,1177.46,103.42,324.394,1262.74
120,0,-78.6239,389.901,1187.45,98.4712,323.702,1267.24
121,0,-88.7577,382.19,1197.43,93.7106,322.876,1271.62
122,0,-98.0671,373.827,1207.21,88.9024,321.569,1275.64
123,0,-107.2,365.031,1216.96,84.0143,320.081,1279.79
124,0,-115.423,355.476,1226.36,79.3212,318.812,1283.77
125,0,-123.441,345.44,1236.06,74.6339,316.972,1287.52
126,0,-130.636,335.276,1245.47,70.0071,315.098,1291.13
127,0,-137.079,324.443,1254.63,65.5348,313.191,1294.45
128,0,-143.264,313.294,1263.83,61.1528,311.002,1297.32
129,0,-148.548,302.03,1272.83,56.8992,308.886,1300.26
130,0,-153.037,290.291,1281.61,52.7258,306.361,1302.79
131,0,-156.963,278.439,1290.04,48.4879,303.807,1305.18
132,0,-160.05,266.708,1298.32,44.446,301.194,1307.55
133,0,-162.665,254.805,1306.31,40.4199,298.16,1309.46
134,0,-164.457,242.778,1313.97,36.5561,295.304,1311.38
135,0,-165.574,231.038,1321.42,32.7225,292.164,1312.69
136,0,-165.995,219.245,1328.38,28.9928,289.001,1313.84
137,0,-165.93,207.845,1335.2,25.4653,285.492,1314.74
138,0,-165.169,196.683,1341.56,22,282.118,1315.2
139,0,-163.952,185.749,1347.5,18.6806,278.578,1315.48
140,0,-162.172,174.4,1352.45,15.4039,274.957,1315.43
141,0,-160.098,163.76,1357.28,12.267,271.022,1315.2
142,0,-157.634,153.871,1361.79,9.25055,267.248,1314.83
143,0,-154.809,143.7,1365.52,6.26707,263.263,1313.94
144,0,-151.503,133.253,1368.35,3.40534,259.063,1312.85
145,0,-148.097,123.766,1371.46,0.704855,254.958,1311.58
146,0,-144.432,114.771,1374.09,-1.92872,250.701,1310
147,0,-140.476,104.37,1375.18,-4.36073,246.327,1308.35
148,0,-136.453,97.292,1377.94,-6.72568,242.061,1306.5
149,0,-132.035,87.4343,1378.31,-9.00203,237.763,1304.61
150,0,-127.596,79.4657,1379.3,-11.086,233.382,1302.49
151,0,-123.007,71.5961,1379.95,-13.013,228.926,1300.29
152,0,-118.164,64.2454,1380.46,-14.8733,224.226,1297.77
153,0,-113.141,57.2324,1380.54,-16.4338,219.656,1295.09
154,0,-108.134,50.2052,1380.37,-18.0918,215.387,1292.37
155,0,-103.045,43.815,1379.92,-19.4162,210.894,1289.66
156,0,-97.8757,37.4972,1379.1,-20.6961,206.671,1286.9
157,0,-92.6144,31.4464,1378.1,-21.7862,202.478,1284.23
158,0,-87.2969,25.8124,1376.92,-22.6843,198.247,1281.29
159,0,-82.0117,20.4927,1375.46,-23.3794,194.258,1278.3
160,0,-76.8857,15.8931,1373.82,-24.1095,190.532,1275.15
161,0,-71.6618,11.5882,1371.95,-24.6704,186.704,1271.82
162,0,-66.4173,7.36008,1369.82,-24.7092,182.747,1267.99
163,0,-61.389,3.14867,1367.36,-24.5119,178.578,1263.9
164,0,-56.3102,-0.577734,1364.69,-24.0473,174.5,1259.55
165,0,-51.0831,-4.23928,1361.69,-23.2901,170.556,1254.72
166,0,-45.8256,-7.66619,1358.39,-22.2658,166.696,1249.85
167,0,-40.6736,-11.0202,1354.96,-21.1159,162.757,1244.94
168,0,-35.5518,-14.2775,1351.15,-19.6762,159.005,1239.87
169,0,-30.3219,-17.6935,1347.1,-18.0146,155.198,1234.53
170,0,-25.3177,-20.6739,1343.17,-16.0438,151.43,1229.12
171,0,-20.2739,-23.5027,1339.04,-13.9149,147.74,1223.47
172,0,-15.3534,-26.1249,1334.9,-11.3061,143.895,1217.66
173,0,-10.2015,-28.275,1330.91,-8.71115,140.489,1211.78
174,0,-5.08869,-30.0315,1326.94,-5.63901,136.957,1205.63
175,0,0.181715,-31.7781,1323.01,-2.17218,133.377,1199.5
176,0,5.51097,-33.3312,1319.06,1.30896,130.15,1193.38
177,0,11.011,-34.9619,1315.09,5.058,126.726,1187.41
178,0,16.3942,-36.4579,1311.18,8.80579,123.692,1181.65
179,0,21.7103,-38.0587,1307.3,12.737,120.32,1176.04
180,0,26.7501,-39.504,1303.73,16.6813,117.364,1170.66
181,0,31.8042,-41.067,1300.39,20.6674,113.918,1165.52
182,0,36.4532,-42.46,1297.44,24.5976,110.91,1160.56
183,0,40.6937,-43.4439,1294.91,28.4047,107.52,1155.96
184,0,44.6765,-44.3378,1292.73,32.0473,104.245,1151.74
185,0,49.3193,-47.2853,1290.87,35.1056,100.703,1148.04
186,0,53.2246,-49.473,1289.23,37.9828,96.8765,1144.73
187,0,56.8229,-51.8381,1288.24,40.2481,92.7098,1141.97
188,0,59.9468,-54.49,1287.74,41.7229,88.2659,1139.77
189,0,62.7545,-57.3368,1287.89,42.5344,83.212,1138.2
190,0,64.98,-60.6699,1288.76,42.7282,78.0411,1137.29
191,0,66.7184,-64.1512,1290.45,41.9815,71.8033,1137.14
192,0,68.0894,-67.9327,1292.95,40.2394,65.194,1137.81
193,0,68.8832,-71.8506,1296.3,37.7759,58.1751,1139.19
194,0,69.2555,-76.0676,1300.7,34.5567,50.5864,1141.53
195,0,68.7924,-81.0966,1305.75,30.3604,42.4162,1145.03
196,0,68.336,-85.76,1312.07,25.2443,33.7213,1149.54
197,0,67.357,-90.7746,1319.41,19.36,24.2984,1154.97
198,0,66.0904,-96.0803,1327.83,12.6714,14.4895,1162.07
199,0,64.5892,-101.802,1337.27,5.36828,3.96718,1170.29
200,0,63.2591,-107.4,1347.97,-2.72298,-6.92595,1180
201,0,61.1179,-114.226,1359.6,-10.8832,-18.2048,1191.57
202,0,59.718,-121.536,1372.44,-19.3732,-30.104,1204.83
203,0,58.0102,-129.163,1386.8,-28.0775,-42.5955,1219.65
204,0,56.2338,-137.258,1402.54,-36.3058,-55.0876,1236.33
205,0,54.6318,-145.676,1419.8,-44.2475,-67.6755,1254.84
206,0,53.0975,-154.619,1438.43,-51.3666,-79.9189,1275.01
207,0,51.6951,-164.016,1458.47,-57.4337,-92.3996,1296.67
208,0,50.825,-173.855,1479.64,-62.5006,-104.044,1319.67
209,0,50.248,-183.861,1502.07,-66.2235,-115.307,1343.79
210,0,50.2503,-193.516,1525.39,-68.5622,-125.93,1368.5
211,0,50.0305,-204.603,1549.64,-69.4064,-135.607,1393.65
212,0,50.1685,-215.419,1574.54,-68.5527,-144.197,1418.87
213,0,51.1811,-225.985,1599.63,-66.522,-152.554,1444.09
214,0,51.984,-237.922,1625.12,-62.9555,-160.156,1469.23
215,0,53.2032,-249.177,1650.38,-57.9893,-166.797,1494.05
216,0,54.7294,-260.781,1675.35,-51.711,-172.404,1518.44
217,0,56.4699,-271.342,1699.75,-43.9646,-177.314,1542.05
218,0,58.2824,-281.397,1723.36,-34.9491,-181.739,1564.64
219,0,59.685,-290.371,1746.16,-24.5252,-185.545,1586.05
220,0,61.0638,-298.144,1767.87,-13.3199,-188.866,1606.09
221,0,62.0843,-305.096,1788.13,-1.15975,-191.71,1624.29
222,0,62.575,-310.584,1806.82,11.4255,-194.165,1640.61
223,0,62.8881,-315.065,1823.52,25.0212,-196.204,1655.43
224,0,64.9374,-321.257,1837.62,38.4265,-197.328,1668.93
225,0,64.694,-322.183,1849.71,52.285,-198.583,1681.01
226,0,65.6421,-323.987,1859.47,65.7824,-198.951,1691.56
227,0,67.0636,-321.955,1867.28,78.9226,-199.625,1699.97
228,0,69.9361,-318.341,1873.69,90.0801,-201.145,1705.57
229,0,73.3825,-315.797,1878.25,98.2155,-202.643,1708.54
