Trajectories
100
,,Pauline:T10,,,Pauline:STRN,,,Pauline:CLAV,,,Pauline:C7,,,Pauline:RSHO,,,Pauline:RUPA,,,Pauline:RELB,,,Pauline:RWRB,,,Pauline:RWRA,,,Pauline:RFIN,,,Pauline:LSHO,,,Pauline:LUPA,,,Pauline:LELB,,,Pauline:LWRA,,,Pauline:LWRB,,,Pauline:LFIN,,,Pauline:RFHD,,,Pauline:LFHD,,,Pauline:LBHD,,,Pauline:RBHD,,,Pauline:RPSI,,,Pauline:LPSI,,,Pauline:RASI,,,Pauline:LASI,,,Pauline:RKNE,,,Pauline:RANK,,,Pauline:RTOE,,,Pauline:RHEE,,,Pauline:LKNE,,,Pauline:LANK,,,Pauline:LTOE,,,Pauline:LHEE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,71.2961,503.155,1103.67,260.822,555.1,1198.3,186.873,532.997,1405.44,84.2785,506.508,1478.29,183.423,358.474,1443.55,194.512,296.344,1210.32,182.103,294.145,1108.06,258.551,252.511,893.23,295.759,272.294,895.966,310.273,248.38,827.887,89.7945,686.391,1445.95,61.7036,738.405,1326.5,32.5419,728.364,1114.94,93.9209,832.89,909.633,46.4274,822.153,913.441,78.7352,862.606,831.955,298.768,518.331,1621.3,285.016,581.279,1631.02,104.893,590.124,1643.89,109.456,468.541,1662.35,82.9497,430.323,1008.53,48.4951,558.594,1014.9,267.769,426.099,968.316,189.679,682.84,982.211,154.014,390.763,501.456,98.529,383.82,99.7164,256.433,434.189,67.9071,59.1702,418.493,79.2527,88.2722,641.73,494.752,36.6179,617.236,112.872,206.507,623.892,67.6005,16.1087,568.145,77.6133
2,0,71.388,503.079,1103.67,260.826,555.1,1198.31,186.933,532.999,1405.43,84.3757,506.472,1478.33,183.532,358.443,1443.56,194.695,296.244,1210.37,182.243,294.029,1108.11,258.591,252.472,893.226,295.774,272.324,895.894,310.286,248.437,827.788,89.784,686.259,1445.91,61.6526,738.299,1326.5,32.4963,728.232,1114.92,93.8911,832.791,909.631,46.3859,822.061,913.475,78.6292,862.561,831.994,298.883,518.308,1621.17,285.18,581.189,1630.89,105.051,590.117,1643.91,109.631,468.365,1662.44,83.0105,430.277,1008.52,48.5862,558.572,1014.88,267.779,426.032,968.275,189.725,682.756,982.175,154.038,390.688,501.483,99.5377,386.753,97.6408,256.44,434.179,67.9246,59.1626,418.499,79.217,88.2642,641.685,494.776,36.5963,617.277,112.906,206.516,623.87,67.5963,16.1294,568.143,77.6097
3,0,71.4631,503.006,1103.69,260.803,554.998,1198.25,187,532.895,1405.39,84.4515,506.39,1478.33,183.663,358.366,1443.58,194.849,296.263,1210.31,182.372,294.132,1108.03,258.625,252.522,893.157,295.797,272.33,895.823,310.26,248.477,827.703,89.7736,686.206,1445.94,61.6029,738.202,1326.49,32.5062,728.048,1114.88,93.8423,832.65,909.593,46.3358,821.909,913.435,78.4919,862.408,831.976,299.041,518.339,1621.09,285.334,581.115,1630.73,105.209,590.094,1643.94,109.849,468.296,1662.45,83.0406,430.254,1008.52,48.6929,558.51,1014.88,267.843,426.008,968.275,189.776,682.674,982.162,154.03,390.727,501.412,98.49,383.714,99.7807,256.432,434.176,67.9048,59.1697,418.524,79.1962,88.2597,641.653,494.768,36.6187,617.207,112.852,206.515,623.896,67.6126,16.1341,568.106,77.6092
4,0,71.5582,502.942,1103.7,260.785,555.011,1198.24,187.036,532.918,1405.42,84.553,506.336,1478.36,183.76,358.351,1443.61,194.986,296.205,1210.34,182.506,294.082,1108.05,258.647,252.557,893.088,295.814,272.373,895.778,310.272,248.549,827.595,89.7522,686.129,1445.93,61.5478,738.091,1326.47,32.4876,727.863,1114.86,93.7959,832.554,909.598,46.2747,821.741,913.424,78.371,862.28,831.962,299.171,518.355,1620.96,285.452,581.056,1630.58,105.343,590.061,1643.96,110.027,468.249,1662.51,83.1179,430.122,1008.52,48.8246,558.558,1014.82,267.881,425.955,968.265,189.811,682.595,982.13,154.035,390.677,501.412,99.5183,386.524,97.7883,256.451,434.168,67.9183,59.1816,418.513,79.2133,88.2713,641.574,494.778,36.5949,617.24,112.899,206.502,623.891,67.5912,16.1305,568.076,77.6142
5,0,71.6099,502.88,1103.72,260.784,554.978,1198.22,187.093,532.931,1405.48,84.638,506.279,1478.4,183.813,358.365,1443.64,195.101,296.256,1210.35,182.59,294.133,1108.01,258.686,252.465,893.157,295.851,272.45,895.738,310.266,248.62,827.547,89.757,686.081,1445.93,61.511,738.013,1326.48,32.5122,727.639,1114.83,93.7432,832.406,909.575,46.2027,821.587,913.426,78.2415,862.166,831.996,299.289,518.401,1620.89,285.58,580.959,1630.45,105.489,590.05,1644.01,110.233,468.389,1662.52,83.1488,430.11,1008.55,49.0022,558.555,1014.76,267.892,425.931,968.257,189.845,682.518,982.121,154.059,390.642,501.417,99.4754,386.573,97.7238,256.46,434.165,67.899,59.1826,418.523,79.2498,88.2814,641.562,494.81,36.6179,617.188,112.844,206.513,623.899,67.6188,16.1268,568.097,77.6176
6,0,71.6484,502.847,1103.73,260.782,554.909,1198.18,187.147,532.85,1405.44,84.7323,506.229,1478.39,184.008,358.312,1443.66,195.214,296.211,1210.37,182.706,294.14,1108.01,258.718,252.612,893.091,295.897,272.464,895.74,310.313,248.721,827.515,89.7743,685.939,1445.9,61.4898,737.922,1326.46,32.528,727.464,1114.82,93.6901,832.258,909.572,45.8876,821.708,913.572,78.1338,862.039,831.995,299.455,518.539,1620.83,285.663,581,1630.36,105.615,590.061,1644.03,110.435,468.397,1662.51,83.2198,430.003,1008.54,49.0092,558.478,1014.81,267.891,425.829,968.23,189.877,682.429,982.096,154.055,390.557,501.432,98.4831,383.822,99.6764,256.459,434.192,67.8738,59.2057,418.508,79.2166,88.253,641.492,494.801,36.6262,617.186,112.831,206.51,623.89,67.6143,16.131,568.105,77.6001
7,0,71.7037,502.75,1103.74,260.735,554.911,1198.17,187.232,532.883,1405.46,84.8244,506.127,1478.42,184.101,358.308,1443.68,195.306,296.198,1210.42,182.849,294.219,1108,258.784,252.608,893.107,295.934,272.506,895.73,310.342,248.765,827.503,89.8119,685.881,1445.93,61.472,737.825,1326.45,32.548,727.276,1114.78,93.619,832.109,909.549,45.8168,821.538,913.581,77.9844,861.838,831.966,299.612,518.468,1620.59,285.772,580.941,1630.2,105.756,590.038,1644.07,110.629,468.638,1662.52,83.2386,429.944,1008.57,49.1252,558.42,1014.82,267.923,425.807,968.241,189.908,682.366,982.112,154.045,390.488,501.455,99.4471,386.517,97.7324,256.451,434.204,67.8676,59.2176,418.522,79.2131,88.2643,641.486,494.872,36.6539,617.233,112.913,206.52,623.923,67.6217,16.1062,568.102,77.6004
8,0,71.7807,502.685,1103.77,260.685,554.86,1198.15,187.268,532.753,1405.42,84.906,506.069,1478.46,184.233,358.309,1443.72,195.406,296.137,1210.42,182.92,294.288,1108.02,258.815,252.636,893.103,295.987,272.502,895.748,310.419,248.914,827.493,89.8527,685.775,1445.89,61.4761,737.768,1326.49,32.5154,727.204,1114.83,93.5436,832.017,909.562,45.9694,821.073,913.409,77.8591,861.681,832.002,299.679,518.423,1620.42,285.876,580.902,1630.03,105.891,590.005,1644.09,110.734,468.626,1662.59,83.3053,429.821,1008.59,49.128,558.301,1014.86,267.957,425.766,968.221,189.917,682.323,982.106,154.072,390.466,501.456,98.5271,383.982,99.5523,256.458,434.225,67.827,59.2107,418.491,79.2277,88.2748,641.401,494.858,36.6452,617.192,112.856,206.542,623.9,67.6201,16.0744,568.15,77.5933
9,0,71.8319,502.631,1103.78,260.657,554.847,1198.12,187.335,532.747,1405.46,85.0438,505.994,1478.46,184.373,358.279,1443.75,195.483,296.224,1210.46,183.006,294.266,1108.06,258.93,252.682,893.102,296.03,272.562,895.776,310.542,249.014,827.465,89.8829,685.746,1445.91,61.4913,737.675,1326.47,32.5282,727.022,1114.8,93.4663,831.872,909.561,45.6666,821.097,913.501,77.7232,861.453,831.981,299.453,519.042,1619.98,285.946,580.943,1629.91,106.011,590.006,1644.12,110.892,468.707,1662.56,83.3303,429.758,1008.61,49.2415,558.255,1014.83,267.956,425.706,968.238,189.944,682.23,982.094,154.06,390.439,501.42,98.5124,383.802,99.7051,256.466,434.199,67.8184,59.2166,418.496,79.2244,88.2698,641.374,494.864,36.6302,617.232,112.899,206.55,623.918,67.5883,16.0712,568.129,77.608
10,0,71.9149,502.52,1103.77,260.547,554.75,1198.06,187.417,532.718,1405.5,85.0865,505.973,1478.48,184.445,358.317,1443.78,195.563,296.169,1210.47,183.071,294.321,1108.07,258.996,252.772,893.111,296.105,272.574,895.796,310.593,249.115,827.458,89.9582,685.696,1445.93,61.5303,737.577,1326.45,32.4916,726.892,1114.87,93.3707,831.708,909.584,45.5853,820.962,913.575,77.6221,861.263,831.977,299.616,519.288,1619.97,286.074,580.917,1629.77,106.138,589.99,1644.15,111.057,468.784,1662.6,83.3623,429.655,1008.62,49.2605,558.203,1014.83,267.952,425.602,968.192,189.963,682.179,982.092,154.069,390.34,501.455,99.3925,386.435,97.7546,256.487,434.215,67.7833,59.2185,418.495,79.2126,88.2891,641.322,494.854,36.6654,617.223,112.912,206.523,623.892,67.6054,16.0444,568.142,77.6121
11,0,71.9246,502.454,1103.82,260.49,554.732,1198.02,187.503,532.756,1405.55,85.195,505.899,1478.49,184.56,358.34,1443.81,195.643,296.197,1210.47,183.143,294.411,1108.05,259.087,252.744,893.14,296.168,272.614,895.78,310.744,249.174,827.526,90.0203,685.683,1445.96,61.5525,737.545,1326.49,32.4931,726.766,1114.86,93.3155,831.576,909.609,45.4873,820.758,913.538,77.5024,861.155,832.062,300.193,518.576,1620.17,286.15,580.994,1629.73,106.257,589.928,1644.15,111.209,468.768,1662.67,83.3875,429.617,1008.62,49.1426,558.017,1014.94,267.964,425.593,968.23,189.976,682.105,982.084,154.063,390.374,501.362,99.3792,386.306,97.8369,256.471,434.205,67.7756,59.2255,418.466,79.2065,88.3138,641.25,494.809,36.6697,617.17,112.861,206.539,623.913,67.6061,16.0341,568.148,77.6031
12,0,71.9824,502.353,1103.84,260.418,554.67,1197.94,187.584,532.689,1405.54,85.276,505.871,1478.55,184.694,358.276,1443.82,195.732,296.244,1210.52,183.21,294.44,1108.12,259.168,252.743,893.156,296.229,272.631,895.781,310.832,249.305,827.485,90.1104,685.645,1445.98,61.5777,737.489,1326.51,32.5023,726.574,1114.8,93.2396,831.41,909.644,45.4695,820.484,913.479,77.3784,860.925,832.037,300.384,518.622,1620.1,286.258,580.947,1629.59,106.393,589.911,1644.17,111.339,469.048,1662.64,83.4178,429.53,1008.64,49.1665,557.943,1014.96,267.966,425.554,968.221,189.989,682.055,982.11,154.072,390.293,501.419,99.3747,386.331,97.8042,256.497,434.242,67.7581,59.2394,418.454,79.223,88.3269,641.244,494.869,36.6474,617.224,112.914,206.553,623.891,67.5886,16.0414,568.146,77.599
13,0,72.0116,502.309,1103.87,260.362,554.611,1197.87,187.629,532.641,1405.53,85.3487,505.832,1478.56,184.785,358.256,1443.9,195.843,296.27,1210.51,183.257,294.441,1108.12,259.303,252.72,893.204,296.29,272.617,895.805,310.998,249.402,827.527,90.2014,685.6,1445.99,61.6151,737.423,1326.53,32.5294,726.385,1114.77,93.1137,831.182,909.663,45.4016,820.234,913.435,77.2286,860.677,832.06,300.815,518.487,1620.34,286.35,581.088,1629.61,106.512,589.93,1644.19,111.498,469.099,1662.69,83.4287,429.441,1008.66,49.3227,557.948,1014.89,267.976,425.47,968.204,190.006,681.995,982.104,154.087,390.213,501.416,99.3426,386.365,97.7614,256.511,434.23,67.7622,59.2338,418.45,79.2038,88.3653,641.157,494.838,36.6792,617.204,112.902,206.537,623.916,67.623,16.0255,568.171,77.5784
