Trajectories
100
,,Pauline:T10,,,Pauline:STRN,,,Pauline:CLAV,,,Pauline:C7,,,Pauline:RSHO,,,Pauline:RUPA,,,Pauline:RELB,,,Pauline:RWRB,,,Pauline:RWRA,,,Pauline:RFIN,,,Pauline:LSHO,,,Pauline:LUPA,,,Pauline:LELB,,,Pauline:LWRA,,,Pauline:LWRB,,,Pauline:LFIN,,,Pauline:RFHD,,,Pauline:LFHD,,,Pauline:LBHD,,,Pauline:RBHD,,,Pauline:RPSI,,,Pauline:LPSI,,,Pauline:RASI,,,Pauline:LASI,,,Pauline:RKNE,,,Pauline:RANK,,,Pauline:RTOE,,,Pauline:RHEE,,,Pauline:LKNE,,,Pauline:LANK,,,Pauline:LTOE,,,Pauline:LHEE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-60.0275,234.934,1103.02,-60.4882,41.6022,1188.92,-54.195,110.284,1399.19,-51.7838,210.196,1473.21,-246.655,144.831,1430.87,-295.292,160.519,1216.85,-303.991,173.156,1114.62,-365.215,65.8635,830.125,-338.577,77.6121,896.913,-359.773,113.391,898.357,134.983,164.173,1428.74,174.254,167.298,1313.36,167.96,197.974,1101.42,238.899,104.244,895.722,241.394,152.108,898.008,274.98,115.936,821.374,-78.4486,18.2024,1639.13,-13.0088,22.0571,1646.74,26.4425,191.371,1654.79,-92.5057,212.753,1654.31,-131.707,241.855,1004.57,0.590781,239.854,1010.63,-189.473,66.8034,968.195,80.5904,72.5621,983.192,-199.492,183.095,503.216,-193.13,232.99,99.8678,-198.878,70.0798,68.1924,-146.525,259.432,77.7504,79.1783,173.213,494.442,79.057,226.226,113.562,36.4879,60.5944,65.9568,38.2089,257.51,76.081
2,0,-59.9782,235.049,1103.03,-60.4589,41.683,1188.89,-54.1911,110.377,1399.18,-51.7975,210.32,1473.22,-246.65,144.941,1430.85,-295.407,160.646,1216.89,-304.255,173.431,1114.79,-365.574,65.9329,830.219,-338.916,77.4239,897.059,-360.199,113.585,898.441,134.985,164.213,1428.76,174.273,167.334,1313.43,168.123,197.948,1101.45,239.13,104.182,895.794,241.385,152.524,898.429,275.342,115.753,821.618,-78.3747,18.3769,1639.22,-13.0155,22.1953,1646.83,26.4166,191.546,1654.73,-92.5039,212.85,1654.25,-131.638,241.943,1004.57,0.650434,239.926,1010.61,-189.423,66.8947,968.206,80.6302,72.618,983.248,-199.443,183.123,503.231,-193.12,232.998,99.8615,-198.865,70.1035,68.1815,-146.507,259.383,77.6721,79.2042,173.218,494.434,79.066,226.239,113.545,36.4777,60.5935,65.9375,38.2199,257.536,76.1135
3,0,-59.9208,235.152,1103.06,-60.4692,41.811,1188.88,-54.2018,110.419,1399.16,-51.7921,210.312,1473.18,-246.635,144.977,1430.85,-295.506,160.671,1216.93,-304.705,174.142,1115.14,-366.074,66.9297,829.651,-339.279,77.3581,897.178,-360.613,113.679,898.571,134.971,164.307,1428.78,174.293,167.401,1313.46,168.284,197.964,1101.48,239.373,104.116,895.864,241.95,151.84,898.243,275.674,115.567,821.793,-78.3427,18.4129,1639.34,-12.9877,22.2061,1646.89,26.4441,191.611,1654.69,-92.4966,213.009,1654.22,-131.588,241.974,1004.52,0.711438,240.002,1010.57,-189.379,67.0336,968.16,80.6751,72.6619,983.269,-199.386,183.142,503.224,-193.123,232.992,99.8614,-198.855,70.0722,68.1693,-146.51,259.428,77.7385,79.2433,173.287,494.443,79.0738,226.225,113.555,36.4709,60.5564,65.963,38.2104,257.529,76.1208
4,0,-59.8909,235.221,1103.05,-60.4668,41.8933,1188.86,-54.2127,110.445,1399.21,-51.775,210.451,1473.21,-246.656,145.101,1430.87,-295.619,160.747,1217,-304.978,174.479,1115.3,-366.518,66.1003,830.441,-339.631,77.3162,897.303,-360.955,113.729,898.677,134.971,164.353,1428.78,174.322,167.419,1313.47,168.409,197.913,1101.48,239.507,104.047,895.944,242.222,151.734,898.395,276.015,115.37,821.993,-78.2828,18.5188,1639.49,-12.9083,22.3161,1646.96,26.4321,191.767,1654.63,-92.4912,213.043,1654.16,-131.545,242.067,1004.52,0.769248,240.038,1010.55,-189.327,67.0631,968.204,80.7139,72.7234,983.29,-199.359,183.213,503.238,-193.116,233.044,99.8774,-198.864,70.0953,68.203,-146.508,259.432,77.7367,79.2649,173.318,494.411,79.0652,226.239,113.58,36.4639,60.6023,65.9399,38.2335,257.481,76.0671
5,0,-59.852,235.286,1103.04,-60.4521,42.0476,1188.82,-54.2227,110.554,1399.19,-51.8089,210.584,1473.22,-246.629,145.169,1430.86,-295.706,160.792,1217.02,-305.174,174.696,1115.45,-367.046,66.1022,830.573,-340.192,78.3655,896.65,-361.224,113.722,898.799,134.936,164.438,1428.8,174.336,167.519,1313.51,168.546,197.929,1101.49,239.645,103.904,896.012,242.524,152.053,898.613,276.326,115.13,822.152,-78.2446,18.63,1639.55,-12.8857,22.4714,1647.03,26.4307,191.99,1654.56,-92.4744,213.211,1654.12,-131.486,242.159,1004.54,0.848047,240.126,1010.55,-189.271,67.2113,968.183,80.7288,72.8183,983.285,-199.573,182.79,503.569,-192.397,232.405,100.224,-198.875,70.0831,68.2156,-146.503,259.417,77.7212,79.2927,173.314,494.422,79.0651,226.218,113.53,36.483,60.5937,65.9606,38.2385,257.567,76.1155
6,0,-59.7899,235.387,1103.06,-60.4428,42.109,1188.82,-54.2822,110.552,1399.17,-51.8105,210.604,1473.21,-246.66,145.27,1430.86,-295.766,160.842,1217.06,-305.323,174.879,1115.57,-367.488,66.1031,830.647,-340.509,78.5755,896.637,-361.455,113.687,898.867,134.909,164.504,1428.82,174.333,167.512,1313.52,168.708,197.93,1101.51,239.93,103.775,896.204,242.759,151.374,898.525,276.592,114.934,822.351,-78.1423,18.9347,1639.57,-12.8607,22.566,1647.1,26.4178,192.131,1654.52,-92.509,213.365,1654.09,-131.42,242.244,1004.53,0.903202,240.172,1010.55,-189.243,67.2507,968.214,80.7691,72.8504,983.318,-199.293,183.234,503.244,-192.392,232.402,100.167,-198.919,70.1109,68.1852,-146.494,259.386,77.732,79.3306,173.344,494.443,79.0758,226.243,113.562,36.4792,60.6026,65.9448,38.2416,257.539,76.0735
7,0,-59.7485,235.413,1103.04,-60.4448,42.2203,1188.83,-54.2709,110.717,1399.2,-51.8505,210.709,1473.18,-246.658,145.381,1430.83,-295.867,160.942,1217.08,-305.517,175.147,1115.71,-367.845,66.1075,830.744,-340.64,77.6938,897.362,-361.649,113.678,898.95,134.896,164.599,1428.85,174.335,167.576,1313.56,168.813,197.85,1101.5,240.18,103.613,896.357,242.745,151.685,898.898,276.897,114.842,822.587,-78.1354,18.8957,1639.73,-12.7914,22.6711,1647.12,26.4183,192.279,1654.46,-92.472,213.505,1654.1,-131.367,242.272,1004.52,0.979356,240.216,1010.54,-189.16,67.4155,968.172,80.7801,72.9097,983.327,-199.274,183.29,503.21,-193.125,233.033,99.8853,-198.915,70.0793,68.1801,-146.504,259.386,77.7293,79.3622,173.359,494.421,79.07,226.226,113.551,36.4702,60.5889,65.9703,38.242,257.53,76.0669
8,0,-59.7184,235.457,1103.02,-60.4255,42.2725,1188.84,-54.2764,110.73,1399.22,-51.8893,210.786,1473.15,-246.67,145.469,1430.83,-295.953,160.986,1217.09,-305.665,175.445,1115.88,-368.19,66.0327,830.851,-340.912,77.7906,897.418,-361.874,113.616,899.006,134.829,164.648,1428.88,174.325,167.606,1313.59,168.952,197.859,1101.53,240.343,103.487,896.462,242.956,151.524,898.963,277.113,114.634,822.727,-78.064,19.1583,1639.72,-12.7857,22.869,1647.17,26.4405,192.453,1654.43,-92.4809,213.563,1654.07,-131.311,242.399,1004.55,1.01816,240.271,1010.53,-189.144,67.4641,968.197,80.8129,72.9031,983.4,-199.468,182.908,503.566,-193.058,232.989,99.9071,-198.913,70.0966,68.1716,-146.502,259.39,77.7193,79.3989,173.377,494.411,79.0813,226.202,113.555,36.4888,60.5846,65.9744,38.2168,257.541,76.0246
9,0,-59.6963,235.545,1103.01,-60.4183,42.3651,1188.84,-54.3192,110.817,1399.23,-51.8899,210.899,1473.15,-246.655,145.571,1430.78,-296.033,161.012,1217.08,-305.252,173.406,1114.83,-368.46,66.0336,830.886,-341.198,77.9135,897.393,-362.074,113.58,899.018,134.805,164.683,1428.91,174.298,167.589,1313.63,169.058,197.823,1101.58,240.494,103.284,896.658,243.181,151.306,899.013,277.338,114.419,822.887,-77.9963,19.2682,1639.81,-12.7545,22.9382,1647.19,26.4132,192.555,1654.34,-92.5024,213.71,1654.05,-131.276,242.463,1004.55,1.07981,240.299,1010.52,-189.103,67.5193,968.219,80.8381,72.971,983.39,-199.435,182.952,503.527,-193.089,233.001,99.9178,-198.931,70.09,68.1641,-146.498,259.412,77.7826,79.4332,173.391,494.418,79.087,226.231,113.564,36.463,60.6025,65.9636,38.239,257.551,76.0522
